user_location,user_lat,user_lon,strategy,energy_wh,carbon_kg,carbon_g,avg_latency_ms,total_heat_kwh,heat_cv,peak_uhi,total_uhi
"Orlando, FL",28.5383,-81.3792,Random,363.61815,0.041796244499999996,41.79624449999999,93.67385738193062,0.425710065,0.6105508519397681,9.462832791519435e-05,0.00020555370373550683
"Orlando, FL",28.5383,-81.3792,Energy-Only,375.660075,0.0720422085,72.0422085,85.6295295518222,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Orlando, FL",28.5383,-81.3792,UHI-Aware,375.667845,0.0701734941,70.1734941,85.23591014562356,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Orlando, FL",28.5383,-81.3792,Multi-Objective,379.62339,0.0795424317,79.5424317,82.55345129992969,0.466820679,0.07232301714937268,0.00018762819749999998,0.0003268316109362577
"New York, NY",40.7128,-74.006,Random,402.550275,0.14420076450000002,144.20076450000002,72.52462810298366,0.5280118462500001,1.1062065281391533,0.0005400195075,0.0005737888306669612
"New York, NY",40.7128,-74.006,Energy-Only,375.660075,0.0720422085,72.0422085,80.8049302629241,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"New York, NY",40.7128,-74.006,UHI-Aware,375.667845,0.0701734941,70.1734941,80.63066299445462,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"New York, NY",40.7128,-74.006,Multi-Objective,378.66165,0.077592837,77.592837,79.43220367563613,0.46441962750000004,0.050265755308743554,0.000181575675,0.00032174720909065814
"London, UK",51.5074,-0.1278,Random,389.340075,0.113227746,113.22774600000001,92.44979256683942,0.49411993875000004,0.8013950667627711,0.00040888151999999997,0.00047494494100748123
"London, UK",51.5074,-0.1278,Energy-Only,375.660075,0.0720422085,72.0422085,85.34228568586003,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"London, UK",51.5074,-0.1278,UHI-Aware,375.667845,0.0701734941,70.1734941,86.67942901766577,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"London, UK",51.5074,-0.1278,Multi-Objective,373.517565,0.06752566319999999,67.52566319999998,82.9727222918668,0.45165546525,0.14943719907338215,0.00015333057,0.00029704663954960796
"Tokyo, Japan",35.6762,139.6503,Random,384.93584999999996,0.0823375755,82.3375755,116.30964536863564,0.47835013499999995,0.5869321095720593,0.00013629265136718747,0.000299766903125138
"Tokyo, Japan",35.6762,139.6503,Energy-Only,375.660075,0.0720422085,72.0422085,116.3653012829626,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Tokyo, Japan",35.6762,139.6503,UHI-Aware,375.667845,0.0701734941,70.1734941,116.05303089642732,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Tokyo, Japan",35.6762,139.6503,Multi-Objective,376.89049500000004,0.0737424111,73.7424111,116.35510946950694,0.45994128825,0.06485499975412427,0.0001674531225,0.00031058533010462673
"Sydney, Australia",-33.8688,151.2093,Random,391.7549849999999,0.1124473758,112.4473758,163.4566945985174,0.49891507724999995,0.5658308943204775,0.0003591163349999999,0.0004484570892771366
"Sydney, Australia",-33.8688,151.2093,Energy-Only,375.660075,0.0720422085,72.0422085,168.7033098869606,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Sydney, Australia",-33.8688,151.2093,UHI-Aware,375.667845,0.0701734941,70.1734941,167.85537843758289,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Sydney, Australia",-33.8688,151.2093,Multi-Objective,378.92577,0.0777480006,77.74800060000001,166.45676364372537,0.46499635950000007,0.07594700899551902,0.000178885665,0.00032051365390017665
"Berlin, Germany",52.52,13.405,Random,352.42531500000007,0.024673370700000002,24.673370700000003,55.74374034966929,0.3989765152500001,0.9737329438897919,0.00013296082007067142,0.0001848814101487964
"Berlin, Germany",52.52,13.405,Energy-Only,375.660075,0.0720422085,72.0422085,85.60037956166833,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Berlin, Germany",52.52,13.405,UHI-Aware,375.667845,0.0701734941,70.1734941,87.09741636709835,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Berlin, Germany",52.52,13.405,Multi-Objective,372.932415,0.0663674337,66.3674337,82.00963434234566,0.45020067525000007,0.1696060037387544,0.00014996805749999999,0.0002941465175220848
"Mumbai, India",19.076,72.8777,Random,400.60587,0.1238777286,123.8777286,166.94881217023323,0.5195963445,0.659423804362558,0.000340286265,0.0004502122649453401
"Mumbai, India",19.076,72.8777,Energy-Only,375.660075,0.0720422085,72.0422085,135.74504523743454,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Mumbai, India",19.076,72.8777,UHI-Aware,375.667845,0.0701734941,70.1734941,136.84335573923033,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Mumbai, India",19.076,72.8777,Multi-Objective,373.25277000000006,0.0668406981,66.8406981,132.91985313131113,0.45096217200000005,0.15883743630009492,0.00014996805749999999,0.0002946218798358823
"S達o Paulo, Brazil",-23.5505,-46.6333,Random,390.34405499999997,0.0925599129,92.5599129,134.48907181174073,0.49169102924999997,0.7051854540059358,0.00015534807749999997,0.00032323391747570665
"S達o Paulo, Brazil",-23.5505,-46.6333,Energy-Only,375.660075,0.0720422085,72.0422085,135.38351504225332,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"S達o Paulo, Brazil",-23.5505,-46.6333,UHI-Aware,375.667845,0.0701734941,70.1734941,135.6312841457193,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"S達o Paulo, Brazil",-23.5505,-46.6333,Multi-Objective,377.91894,0.0762605982,76.2605982,134.99270414420016,0.46260308400000005,0.03149206824013152,0.000178885665,0.00031901965805681317
Singapore,1.3521,103.8198,Random,379.04212500000006,0.07744984499999999,77.449845,155.16413785392564,0.46517075625000004,0.1082458840496382,0.000173505645,0.0003174353634014742
Singapore,1.3521,103.8198,Energy-Only,375.660075,0.0720422085,72.0422085,152.36488682415853,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
Singapore,1.3521,103.8198,UHI-Aware,375.667845,0.0701734941,70.1734941,152.7425630939091,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
Singapore,1.3521,103.8198,Multi-Objective,374.860455,0.06986206739999999,69.86206739999999,151.88427946382035,0.45492420675,0.10831047512608952,0.000157365585,0.0003014775106102308
"Dubai, UAE",25.2048,55.2708,Random,370.06644,0.06765656069999999,67.6565607,113.20611170802556,0.44458879650000005,0.541911026577097,0.00021318329249999995,0.00032809241434228687
"Dubai, UAE",25.2048,55.2708,Energy-Only,375.660075,0.0720422085,72.0422085,125.72670936804708,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Dubai, UAE",25.2048,55.2708,UHI-Aware,375.667845,0.0701734941,70.1734941,127.10076595415455,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Dubai, UAE",25.2048,55.2708,Multi-Objective,372.83565,0.0661069695,66.1069695,121.96724889486384,0.449945115,0.17293370795983518,0.0001486230525,0.0002931901954169887
